year_key,league_key,team_key,park_key,games,openings,attendance
1871,NA,BS1,BOS01,16,16,32600
1871,NA,BS1,NYC01,1,1,3000
1871,NA,CH1,CHI01,16,15,85500
1871,NA,CH1,NYC01,1,1,600
1871,NA,CL1,CIN01,2,2,2200
1871,NA,CL1,CLE01,11,6,9500
1871,NA,FW1,FOR01,9,4,2350
1871,NA,NY2,NYC01,19,18,42050
1871,NA,PH1,PHI01,14,14,52000
1871,NA,RC1,CHI01,1,1,1000
1871,NA,RC1,RCK01,6,5,5200
1871,NA,TRO,TRO01,17,10,14050
1871,NA,WS3,BAL01,1,1,1000
1871,NA,WS3,CIN01,1,1,5500
1871,NA,WS3,NYC01,1,1,1500
1871,NA,WS3,WAS01,11,8,15950
1872,NA,BL1,BAL02,29,19,23100
1872,NA,BR1,NYC01,14,8,3400
1872,NA,BR2,NYC02,18,14,8350
1872,NA,BS1,BOS01,21,21,38400
1872,NA,CL1,CHI02,2,2,5000
1872,NA,CL1,CLE01,5,2,1500
1872,NA,MID,HRT02,3,1,600
1872,NA,MID,MID01,7,1,500
1872,NA,MID,SPR01,1,1,1200
1872,NA,NY2,NYC01,29,28,46750
1872,NA,PH1,PHI01,28,28,66500
1872,NA,TRO,CHI02,4,4,13100
1872,NA,TRO,TRO01,8,7,9500
1872,NA,WS3,WAS01,7,2,700
1872,NA,WS4,WAS02,7,2,450
1873,NA,BL1,BAL02,27,0,0
1873,NA,BL4,BAL02,1,0,0
1873,NA,BR2,NYC01,29,0,0
1873,NA,BS1,BOS01,28,0,0
1873,NA,BS1,CHI02,1,0,0
1873,NA,BS1,SPR01,1,0,0
1873,NA,ELI,NYC01,1,0,0
1873,NA,ELI,WAV01,7,0,0
1873,NA,NY2,NYC01,31,0,0
1873,NA,PH1,PHI01,27,0,0
1873,NA,PH2,CHI02,1,0,0
1873,NA,PH2,PHI01,27,0,0
1873,NA,WS5,WAS01,18,0,0
1874,NA,BL1,BAL02,20,15,11100
1874,NA,BR2,NYC01,29,27,19800
1874,NA,BS1,BOS01,34,32,45300
1874,NA,BS1,WOR03,1,1,500
1874,NA,CH2,CHI02,28,28,75692
1874,NA,HR1,BOS01,1,1,500
1874,NA,HR1,HRT01,30,26,28355
1874,NA,NY2,NYC01,35,32,37600
1874,NA,PH1,PHI01,29,29,29600
1874,NA,PH2,PHI01,25,25,24050
1875,NA,BR2,NYC01,27,26,11324
1875,NA,BS1,BOS01,35,34,46030
1875,NA,BS1,PRO01,1,1,1400
1875,NA,BS1,SPR01,1,1,1600
1875,NA,CH2,CHI02,33,33,61155
1875,NA,HR1,HRT01,38,37,54524
1875,NA,HR1,PRO01,1,1,1200
1875,NA,KEO,KEO01,8,8,4277
1875,NA,NH1,NEW01,26,23,14404
1875,NA,NH1,NEW02,1,1,700
1875,NA,NY2,NYC01,36,36,29202
1875,NA,PH1,DOV01,1,0,0
1875,NA,PH1,PHI01,36,35,45353
1875,NA,PH1,PHI02,1,1,300
1875,NA,PH2,COV01,1,1,800
1875,NA,PH2,LUD01,1,1,500
1875,NA,PH2,PHI01,31,29,25229
1875,NA,PH3,PHI02,7,5,3300
